Outline Area (µm²),Frame 0
Outline 1,2979.459936
Outline 2,334.1163686
Outline 3,2994.786376
Outline 4,846.019488
Outline 5,4043.114872
Outline 6,159.394976
Outline 7,772.452576
Outline 8,10832.72779
Outline 9,76.6322
Outline 10,6936.746744
Outline 11,294.2676246
Outline 12,119.546232
Outline 13,2093.591704
Outline 14,2430.773384
Outline 15,248.288328
Outline 16,392.356864
Outline 17,208.439584
Outline 18,312.659376
Outline 19,214.57016
Outline 20,232.961888
Outline 21,1140.287136
Outline 22,116.480944
Outline 23,631.449328
